date,cpi_yoy,target,cpi_log_return_1_months,cpi_log_return_6_months,cpi_log_return_12_months,rem_1_months,rem_6_months,rem_12_months,nlp_pred
2019-07-31,0.4343764516025845,-0.0097625246556593,-0.009026495845971927,0.03358893304553123,0.16282376108068713,-0.18103868298106535,-0.1500288002098702,-0.05886359711154643,0.001987449245178543
2019-08-31,0.4350239103497087,-0.027560799578871198,0.000647458747124241,0.020929475543489895,0.13937366824875103,-0.17047490781620694,-0.15945221643263807,-0.021813576471229834,0.0025160327199371655
2019-09-30,0.4285303810391606,-0.0337892362939719,-0.006493529310548141,-0.007787190551768575,0.08849307825345148,-0.040956847193913626,-0.1685831369488443,-0.06316342905053157,0.0009597316561841279
2019-10-31,0.40879289820083897,-0.03309994842634478,-0.019737482838321607,-0.034610049247717434,0.031041628660190335,-0.036488293263136906,-0.17032702738613759,-0.1107822386864093,-0.0011405648700777247
2019-11-30,0.4193680132771557,-0.058900271099727175,0.010575115076316755,-0.033616610798985036,0.023953241022492855,-0.01540037132694383,-0.18295748686308055,-0.1438781464392352,-0.0011405648700777247
2019-12-31,0.4304828710834521,-0.07420800716605952,0.011114857806296397,-0.012920076365104283,0.04114714490517141,-0.04367506350266154,-0.18103868298106535,-0.13702179756429117,-0.0024866000448781175
2020-01-31,0.4246139269469252,-0.07114411395714121,-0.0058689441365269435,-0.0097625246556593,0.023826408389871934,-0.07841853970240287,-0.17047490781620694,-0.1500288002098702,-0.0028000462493074554
2020-02-29,0.4074631107708375,-0.06600333263858549,-0.017150816176087658,-0.027560799578871198,-0.006631324035381303,-0.08814169032571229,-0.040956847193913626,-0.15945221643263807,-0.0028000462493074554
2020-03-31,0.3947411447451887,-0.08285438359659025,-0.012721966025648845,-0.0337892362939719,-0.04157642684574048,-0.0717054150874934,-0.036488293263136906,-0.1685831369488443,-0.0025792752477274516
2020-04-30,0.3756929497744942,-0.059423420470800625,-0.019048194970694488,-0.03309994842634478,-0.06770999767406222,-0.06184672947185971,-0.01540037132694383,-0.17032702738613759,-0.0024232478022913223
